seconds_from_midnight,temp_in_kelvin,rh_in_percent,pressure_in_pascal,airchange_in_per_second,light_switch
0,283,40,101537.07,6.94445E-05,0
3600,283,40,101537.07,6.94445E-05,0
7200,283,40,101537.07,6.94445E-05,0
10800,283,40,101537.07,6.94445E-05,0
14400,283,40,101537.07,6.94445E-05,0
18000,283,40,101537.07,6.94445E-05,0
21600,283,40,101537.07,6.94445E-05,0
25200,283,40,101537.07,6.94445E-05,0
28800,283,40,101537.07,6.94445E-05,1
32400,283,40,101537.07,6.94445E-05,1
36000,283,40,101537.07,6.94445E-05,1
39600,283,40,101537.07,6.94445E-05,1
43200,283,40,101537.07,6.94445E-05,1
46800,283,40,101537.07,6.94445E-05,1
50400,283,40,101537.07,6.94445E-05,1
54000,283,40,101537.07,6.94445E-05,1
57600,283,40,101537.07,6.94445E-05,1
61200,283,40,101537.07,6.94445E-05,1
64800,283,40,101537.07,6.94445E-05,1
68400,283,40,101537.07,6.94445E-05,1
72000,283,40,101537.07,6.94445E-05,0
75600,283,40,101537.07,6.94445E-05,0
79200,283,40,101537.07,6.94445E-05,0
82800,283,40,101537.07,6.94445E-05,0
